,Name,FantPos,Predicted PPG,Predicted PPR,PosRank,VBD
0,JoshAllen,QB,20.975,356.575,1,119.17
1,DakPrescott,QB,20.454,347.718,2,110.313
2,PatrickMahomes,QB,20.427,347.259,3,109.854
3,DeshaunWatson,QB,19.805,336.685,4,99.28
4,AaronRodgers,QB,19.532,332.044,5,94.639
5,KylerMurray,QB,18.887,321.079,6,83.674
6,RussellWilson,QB,18.101,307.717,7,70.312
7,LamarJackson,QB,17.809,302.753,8,65.348
8,JustinHerbert,QB,17.69,300.73,9,63.325
9,TomBrady,QB,17.559,298.503,10,61.098
10,MarcusMariota,QB,16.944,288.048,11,50.643
11,RyanTannehill,QB,16.835,286.195,12,48.79
12,KirkCousins,QB,15.525,263.925,13,26.52
13,CamNewton,QB,15.103,256.751,14,19.346
14,DrewBrees,QB,14.44,245.48,15,8.075
15,MattRyan,QB,14.214,241.638,16,4.233
16,BenRoethlisberger,QB,14.192,241.264,17,3.859
17,DerekCarr,QB,14.044,238.748,18,1.343
18,GardnerMinshewII,QB,14.011,238.187,19,0.782
19,JoeBurrow,QB,13.965,237.405,20,0.0
20,RyanFitzpatrick,QB,13.927,236.759,21,-0.646
21,JaredGoff,QB,13.808,234.736,22,-2.669
22,MatthewStafford,QB,13.531,230.027,23,-7.378
23,BakerMayfield,QB,13.44,228.48,24,-8.925
24,TeddyBridgewater,QB,13.16,223.72,25,-13.685
25,PhilipRivers,QB,13.106,222.802,26,-14.603
26,CarsonWentz,QB,12.67,215.39,27,-22.015
27,MitchellTrubisky,QB,12.335,209.695,28,-27.71
28,DrewLock,QB,11.843,201.331,29,-36.074
29,TuaTagovailoa,QB,11.698,198.866,30,-38.539
30,GarrettGilbert,QB,10.875,184.875,31,-52.53
31,AndyDalton,QB,10.806,183.702,32,-53.703
32,DanielJones,QB,10.796,183.532,33,-53.873
33,NickMullens,QB,10.618,180.506,34,-56.899
34,NickFoles,QB,10.369,176.273,35,-61.132
35,JimmyGaroppolo,QB,10.2,173.4,36,-64.005
36,MikeGlennon,QB,10.094,171.598,37,-65.807
37,TaylorHeinicke,QB,9.975,169.575,38,-67.83
38,KyleAllen,QB,9.877,167.909,39,-69.496
39,BrandonAllen,QB,9.738,165.546,40,-71.859
40,JohnWolford,QB,9.686,164.662,41,-72.743
41,JoeFlacco,QB,9.588,162.996,42,-74.409
42,SamDarnold,QB,9.421,160.157,43,-77.248
43,DwayneHaskins,QB,9.263,157.471,44,-79.934
44,JeffDriskel,QB,9.218,156.706,45,-80.699
45,AlexSmith,QB,8.786,149.362,46,-88.043
46,ChadHenne,QB,8.658,147.186,47,-90.219
47,CJBeathard,QB,8.343,141.831,48,-95.574
48,JalenHurts,QB,7.641,129.897,49,-107.508
49,TyrodTaylor,QB,7.094,120.598,50,-116.807
50,JakeLuton,QB,6.82,115.94,51,-121.465
51,TraceMcSorley,QB,6.503,110.551,52,-126.854
52,ColtMcCoy,QB,6.425,109.225,53,-128.18
53,BrettRypien,QB,6.264,106.488,54,-130.917
54,BlaineGabbert,QB,6.201,105.417,55,-131.988
55,MasonRudolph,QB,6.14,104.38,56,-133.025
56,TylerHuntley,QB,5.487,93.279,57,-144.126
57,MattBarkley,QB,5.004,85.068,58,-152.337
58,JarrettStidham,QB,4.948,84.116,59,-153.289
59,RyanFinley,QB,4.915,83.555,60,-153.85
60,GenoSmith,QB,4.878,82.926,61,-154.479
61,PhillipWalker,QB,4.856,82.552,62,-154.853
62,TommyStevens,QB,4.703,79.951,63,-157.454
63,MattSchaub,QB,4.602,78.234,64,-159.171
64,JameisWinston,QB,4.532,77.044,65,-160.361
65,BenDiNucci,QB,4.436,75.412,66,-161.993
66,JacobyBrissett,QB,4.434,75.378,67,-162.027
67,ChaseDaniel,QB,4.233,71.961,68,-165.444
68,ChrisStreveler,QB,3.883,66.011,69,-171.394
69,TimBoyle,QB,3.865,65.705,70,-171.7
70,EastonStick,QB,3.718,63.206,71,-174.199
71,LoganWoodside,QB,3.503,59.551,72,-177.854
72,NathanPeterman,QB,3.453,58.701,73,-178.704
73,CaseKeenum,QB,3.412,58.004,74,-179.401
74,AJMcCarron,QB,3.332,56.644,75,-180.761
75,RobertGriffinIII,QB,3.296,56.032,76,-181.373
76,TylerBray,QB,3.22,54.74,77,-182.665
77,BrianHoyer,QB,3.201,54.417,78,-182.988
78,JoshuaDobbs,QB,3.053,51.901,79,-185.504
79,DavidBlough,QB,2.074,35.258,80,-202.147
80,NateSudfeld,QB,1.179,20.043,81,-217.362
