,Name,FantPos,Predicted PPG,Predicted PPR,PosRank,VBD
0,DalvinCook,RB,19.784,336.328,1,206.295
1,DerrickHenry,RB,18.673,317.441,2,187.408
2,AlvinKamara,RB,18.535,315.095,3,185.062
3,ChristianMcCaffrey,RB,17.644,299.948,4,169.915
4,JamesRobinson,RB,15.242,259.114,5,129.081
5,DavidMontgomery,RB,15.13,257.21,6,127.177
6,JonathanTaylor,RB,15.037,255.629,7,125.596
7,AaronJones,RB,14.991,254.847,8,124.814
8,NickChubb,RB,13.847,235.399,9,105.366
9,MylesGaskin,RB,13.391,227.647,10,97.614
10,JoshJacobs,RB,13.328,226.576,11,96.543
11,AustinEkeler,RB,13.321,226.457,12,96.424
12,JoeMixon,RB,12.927,219.759,13,89.726
13,EzekielElliott,RB,12.713,216.121,14,86.088
14,MilesSanders,RB,12.405,210.885,15,80.852
15,ClydeEdwardsHelaire,RB,12.329,209.593,16,79.56
16,AntonioWilliams,RB,11.957,203.269,17,73.236
17,AntonioGibson,RB,11.925,202.725,18,72.692
18,RonaldJonesII,RB,11.844,201.348,19,71.315
19,DAndreSwift,RB,11.434,194.378,20,64.345
20,ChrisCarson,RB,11.424,194.208,21,64.175
21,KareemHunt,RB,10.803,183.651,22,53.618
22,DavidJohnson,RB,10.747,182.699,23,52.666
23,MelvinGordon,RB,10.715,182.155,24,52.122
24,KenyanDrake,RB,10.365,176.205,25,46.172
25,JamesConner,RB,10.29,174.93,26,44.897
26,MikeDavis,RB,10.266,174.522,27,44.489
27,RaheemMostert,RB,10.261,174.437,28,44.404
28,JKDobbins,RB,9.866,167.722,29,37.689
29,SalvonAhmed,RB,9.76,165.92,30,35.887
30,DamienHarris,RB,9.653,164.101,31,34.068
31,JDMcKissic,RB,9.473,161.041,32,31.008
32,NyheimHines,RB,9.168,155.856,33,25.823
33,DevinSingletary,RB,9.101,154.717,34,24.684
34,MarlonMack,RB,8.868,150.756,35,20.723
35,ChaseEdmonds,RB,8.731,148.427,36,18.394
36,JeffWilson,RB,8.524,144.908,37,14.875
37,CamAkers,RB,8.518,144.806,38,14.773
38,ToddGurley,RB,8.195,139.315,39,9.282
39,SonyMichel,RB,8.187,139.179,40,9.146
40,JamaalWilliams,RB,7.98,135.66,41,5.627
41,DarrellHenderson,RB,7.892,134.164,42,4.131
42,LeonardFournette,RB,7.828,133.076,43,3.043
43,WayneGallman,RB,7.658,130.186,44,0.153
44,JustinJackson,RB,7.649,130.033,45,0.0
45,SaquonBarkley,RB,7.639,129.863,46,-0.17
46,GusEdwards,RB,7.363,125.171,47,-4.862
47,KalenBallage,RB,7.261,123.437,48,-6.596
48,ZackMoss,RB,7.175,121.975,49,-8.058
49,AlexanderMattison,RB,7.08,120.36,50,-9.673
50,TonyPollard,RB,6.989,118.813,51,-11.22
51,GiovaniBernard,RB,6.929,117.793,52,-12.24
52,LataviusMurray,RB,6.911,117.487,53,-12.546
53,ReggieBonnafon,RB,6.816,115.872,54,-14.161
54,RexBurkhead,RB,6.57,111.69,55,-18.343
55,DukeJohnson,RB,6.563,111.571,56,-18.462
56,PhillipLindsay,RB,6.523,110.891,57,-19.142
57,TarikCohen,RB,6.52,110.84,58,-19.193
58,BrianHill,RB,6.519,110.823,59,-19.21
59,JoshuaKelley,RB,6.367,108.239,60,-21.794
60,JamesWhite,RB,6.191,105.247,61,-24.786
61,DevontaFreeman,RB,6.153,104.601,62,-25.432
62,CarlosHyde,RB,6.102,103.734,63,-26.299
63,BostonScott,RB,6.083,103.411,64,-26.622
64,LeVeonBell,RB,5.915,100.555,65,-29.478
65,LaMicalPerine,RB,5.853,99.501,66,-30.532
66,LynnBowdenJr,RB,5.782,98.294,67,-31.739
67,JerickMcKinnon,RB,5.73,97.41,68,-32.623
68,MalcolmBrown,RB,5.707,97.019,69,-33.014
69,RodneySmith,RB,5.592,95.064,70,-34.969
70,TyJohnson,RB,5.529,93.993,71,-36.04
71,BennySnellJr,RB,5.338,90.746,72,-39.287
72,AJDillon,RB,5.027,85.459,73,-44.574
73,JoshAdams,RB,4.942,84.014,74,-46.019
74,KerryonJohnson,RB,4.909,83.453,75,-46.58
75,DevontaeBooker,RB,4.882,82.994,76,-47.039
76,DeeJayDallas,RB,4.869,82.773,77,-47.26
77,MattBreida,RB,4.838,82.246,78,-47.787
78,AlexCollins,RB,4.834,82.178,79,-47.855
79,ItoSmith,RB,4.811,81.787,80,-48.246
80,TJYeldon,RB,4.711,80.087,81,-49.946
81,DeAndreWashington,RB,4.682,79.594,82,-50.439
82,TravisHomer,RB,4.65,79.05,83,-50.983
83,JamycalHasty,RB,4.643,78.931,84,-51.102
84,BoScarbrough,RB,4.614,78.438,85,-51.595
85,JordanWilkins,RB,4.524,76.908,86,-53.125
86,SamajePerine,RB,4.518,76.806,87,-53.227
87,TrayveonWilliams,RB,4.448,75.616,88,-54.417
88,AdrianPeterson,RB,4.442,75.514,89,-54.519
89,FrankGore,RB,4.428,75.276,90,-54.757
90,JJTaylor,RB,4.381,74.477,91,-55.556
91,AnthonyMcFarlandJr,RB,4.212,71.604,92,-58.429
92,JalenRichard,RB,4.205,71.485,93,-58.548
93,DarrelWilliams,RB,4.107,69.819,94,-60.214
94,DarryntonEvans,RB,4.08,69.36,95,-60.673
95,TroymainePope,RB,4.025,68.425,96,-61.608
96,RoyceFreeman,RB,3.935,66.895,97,-63.138
97,TylerErvin,RB,3.921,66.657,98,-63.376
98,MarkIngram,RB,3.876,65.892,99,-64.141
99,KeShawnVaughn,RB,3.802,64.634,100,-65.399
100,JeremyMcNichols,RB,3.782,64.294,101,-65.739
101,ChrisThompson,RB,3.736,63.512,102,-66.521
102,TyMontgomery,RB,3.735,63.495,103,-66.538
103,DOntaForeman,RB,3.699,62.883,104,-67.15
104,DarwinThompson,RB,3.509,59.653,105,-70.38
