,Name,FantPos,Predicted PPG,Predicted PPR,PosRank,VBD
0,TravisKelce,TE,18.944,322.048,1,201.79
1,DarrenWaller,TE,15.021,255.357,2,135.099
2,GeorgeKittle,TE,14.356,244.052,3,123.794
3,MarkAndrews,TE,10.156,172.652,4,52.394
4,MikeGesicki,TE,9.423,160.191,5,39.933
5,DallasGoedert,TE,9.195,156.315,6,36.057
6,TJHockenson,TE,9.174,155.958,7,35.7
7,CJUzomah,TE,8.796,149.532,8,29.274
8,NoahFant,TE,8.711,148.087,9,27.829
9,LoganThomas,TE,8.628,146.676,10,26.418
10,HunterHenry,TE,8.597,146.149,11,25.891
11,RobertTonyan,TE,8.369,142.273,12,22.015
12,RobGronkowski,TE,8.144,138.448,13,18.19
13,DaltonSchultz,TE,7.651,130.067,14,9.809
14,OJHoward,TE,7.634,129.778,15,9.52
15,EvanEngram,TE,7.612,129.404,16,9.146
16,EricEbron,TE,7.588,128.996,17,8.738
17,HaydenHurst,TE,7.431,126.327,18,6.069
18,TylerHigbee,TE,7.215,122.655,19,2.397
19,JaredCook,TE,7.074,120.258,20,0.0
20,AustinHooper,TE,6.957,118.269,21,-1.989
21,JonnuSmith,TE,6.478,110.126,22,-10.132
22,JimmyGraham,TE,6.423,109.191,23,-11.067
23,AlbertOkwuegbunam,TE,6.352,107.984,24,-12.274
24,JordanAkins,TE,6.283,106.811,25,-13.447
25,ZachErtz,TE,6.277,106.709,26,-13.549
26,IrvSmithJr,TE,6.195,105.315,27,-14.943
27,DanArnold,TE,5.806,98.702,28,-21.556
28,KyleRudolph,TE,5.699,96.883,29,-23.375
29,MoAlieCox,TE,5.505,93.585,30,-26.673
30,JordanReed,TE,5.393,91.681,31,-28.577
31,RichardRodgers,TE,5.275,89.675,32,-30.583
32,DawsonKnox,TE,5.215,88.655,33,-31.603
33,GeraldEverett,TE,5.163,87.771,34,-32.487
34,AnthonyFirkser,TE,5.162,87.754,35,-32.504
35,TylerEifert,TE,5.099,86.683,36,-33.575
36,GregOlsen,TE,4.796,81.532,37,-38.726
37,DrewSample,TE,4.749,80.733,38,-39.525
38,DarrenFells,TE,4.558,77.486,39,-42.772
39,JackDoyle,TE,4.266,72.522,40,-47.736
40,ChrisHerndon,TE,4.22,71.74,41,-48.518
41,CameronBrate,TE,4.17,70.89,42,-49.368
42,JamesOShaughnessy,TE,4.006,68.102,43,-52.156
43,DavidNjoku,TE,3.988,67.796,44,-52.462
44,TreyBurton,TE,3.934,66.878,45,-53.38
45,HarrisonBryant,TE,3.886,66.062,46,-54.196
46,WillDissly,TE,3.851,65.467,47,-54.791
47,ColeKmet,TE,3.744,63.648,48,-56.61
48,RyanIzzo,TE,3.729,63.393,49,-56.865
49,RossDwelley,TE,3.685,62.645,50,-57.613
50,DurhamSmythe,TE,3.597,61.149,51,-59.109
51,JacobHollister,TE,3.567,60.639,52,-59.619
52,NickBoyle,TE,3.487,59.279,53,-60.979
53,TylerKroft,TE,3.449,58.633,54,-61.625
54,PharaohBrown,TE,3.358,57.086,55,-63.172
55,DonaldParham,TE,3.339,56.763,56,-63.495
56,TylerConklin,TE,3.204,54.468,57,-65.79
57,MaxxWilliams,TE,3.097,52.649,58,-67.609
58,BlakeJarwin,TE,3.086,52.462,59,-67.796
59,AdamTrautman,TE,3.074,52.258,60,-68.0
60,TroyFumagalli,TE,2.935,49.895,61,-70.363
61,AdamShaheen,TE,2.872,48.824,62,-71.434
62,JaceSternberger,TE,2.812,47.804,63,-72.454
63,IanThomas,TE,2.746,46.682,64,-73.576
64,JesseJames,TE,2.632,44.744,65,-75.514
65,VirgilGreen,TE,2.619,44.523,66,-75.735
66,FosterMoreau,TE,2.589,44.013,67,-76.245
67,MarcedesLewis,TE,2.548,43.316,68,-76.942
68,DarrellDaniels,TE,2.487,42.279,69,-77.979
69,KadenSmith,TE,2.428,41.276,70,-78.982
70,VanceMcDonald,TE,2.36,40.12,71,-80.138
71,NickVannett,TE,2.316,39.372,72,-80.886
72,BlakeBell,TE,2.286,38.862,73,-81.396
73,DominiqueDafney,TE,2.202,37.434,74,-82.824
74,StephenAnderson,TE,2.195,37.315,75,-82.943
75,JosiahDeguara,TE,2.112,35.904,76,-84.354
76,RyanGriffin,TE,2.103,35.751,77,-84.507
77,HunterBryant,TE,2.097,35.649,78,-84.609
78,JasonWitten,TE,2.078,35.326,79,-84.932
79,KahaleWarring,TE,1.954,33.218,80,-87.04
80,DevinAsiasi,TE,1.862,31.654,81,-88.604
81,JoshHill,TE,1.845,31.365,82,-88.893
82,LukeStocker,TE,1.82,30.94,83,-89.318
83,NickKeizer,TE,1.757,29.869,84,-90.389
84,CethanCarter,TE,1.732,29.444,85,-90.814
85,MyColePruitt,TE,1.726,29.342,86,-90.916
86,TannerHudson,TE,1.718,29.206,87,-91.052
87,ChrisManhertz,TE,1.714,29.138,88,-91.12
88,DemetriusHarris,TE,1.705,28.985,89,-91.273
89,JasonCroom,TE,1.684,28.628,90,-91.63
90,DaltonKeene,TE,1.666,28.322,91,-91.936
91,JohnnyMundt,TE,1.657,28.169,92,-92.089
92,DeonYelder,TE,1.653,28.101,93,-92.157
93,LevineToilolo,TE,1.646,27.982,94,-92.276
94,ColbyParkinson,TE,1.629,27.693,95,-92.565
95,EricSaubert,TE,1.559,26.503,96,-93.755
96,CharlieWoerner,TE,1.555,26.435,97,-93.823
97,BrandonDillon,TE,1.55,26.35,98,-93.908
98,JordanThomas,TE,1.547,26.299,99,-93.959
99,BenEllefson,TE,1.495,25.415,100,-94.843
100,ReggieGilliam,TE,1.467,24.939,101,-95.319
101,JaedenGraham,TE,1.445,24.565,102,-95.693
102,JakeButt,TE,1.437,24.429,103,-95.829
103,LukeWillson,TE,1.381,23.477,104,-96.781
104,TemarrickHemingway,TE,1.37,23.29,105,-96.968
105,ColinThompson,TE,1.366,23.222,106,-97.036
106,JohnLovett,TE,1.342,22.814,107,-97.444
107,IsaacNauta,TE,1.34,22.78,108,-97.478
108,MarcusBaugh,TE,1.326,22.542,109,-97.716
109,TrevonWesco,TE,1.31,22.27,110,-97.988
110,StephenCarlson,TE,1.306,22.202,111,-98.056
111,JeremySprinkle,TE,1.288,21.896,112,-98.362
112,DerekCarrier,TE,1.251,21.267,113,-98.991
