,Name,FantPos,Predicted PPG,Predicted PPR,PosRank,VBD
0,DavanteAdams,WR,20.445,347.565,1,174.896
1,TyreekHill,WR,18.061,307.037,2,134.368
2,StefonDiggs,WR,17.319,294.423,3,121.754
3,CalvinRidley,WR,16.064,273.088,4,100.419
4,DeAndreHopkins,WR,15.395,261.715,5,89.046
5,JustinJefferson,WR,14.96,254.32,6,81.651
6,AJBrown,WR,14.861,252.637,7,79.968
7,DKMetcalf,WR,14.647,248.999,8,76.33
8,WillFuller,WR,14.228,241.876,9,69.207
9,KeenanAllen,WR,14.189,241.213,10,68.544
10,AllenRobinson,WR,14.033,238.561,11,65.892
11,JulioJones,WR,13.919,236.623,12,63.954
12,AdamThielen,WR,13.711,233.087,13,60.418
13,TylerLockett,WR,13.635,231.795,14,59.126
14,BrandinCooks,WR,13.349,226.933,15,54.264
15,ChrisGodwin,WR,13.094,222.598,16,49.929
16,MikeEvans,WR,13.009,221.153,17,48.484
17,TerryMcLaurin,WR,12.853,218.501,18,45.832
18,BrandonAiyuk,WR,12.731,216.427,19,43.758
19,RobertWoods,WR,12.723,216.291,20,43.622
20,DJMoore,WR,12.65,215.05,21,42.381
21,AmariCooper,WR,12.643,214.931,22,42.262
22,DiontaeJohnson,WR,12.227,207.859,23,35.19
23,RobbyAnderson,WR,12.066,205.122,24,32.453
24,MarvinJones,WR,12.037,204.629,25,31.96
25,AntonioBrown,WR,12.032,204.544,26,31.875
26,CoreyDavis,WR,11.911,202.487,27,29.818
27,CooperKupp,WR,11.849,201.433,28,28.764
28,CurtisSamuel,WR,11.823,200.991,29,28.322
29,JuJuSmithSchuster,WR,11.783,200.311,30,27.642
30,ColeBeasley,WR,11.75,199.75,31,27.081
31,JamisonCrowder,WR,11.717,199.189,32,26.52
32,CeeDeeLamb,WR,11.713,199.121,33,26.452
33,ChaseClaypool,WR,11.558,196.486,34,23.817
34,KennyGolladay,WR,11.495,195.415,35,22.746
35,SterlingShepard,WR,11.323,192.491,36,19.822
36,TylerBoyd,WR,10.871,184.807,37,12.138
37,JarvisLandry,WR,10.801,183.617,38,10.948
38,MichaelThomas,WR,10.733,182.461,39,9.792
39,TeeHiggins,WR,10.538,179.146,40,6.477
40,DeVanteParker,WR,10.392,176.664,41,3.995
41,OdellBeckhamJr,WR,10.337,175.729,42,3.06
42,NelsonAgholor,WR,10.248,174.216,43,1.547
43,DJChark,WR,10.247,174.199,44,1.53
44,DeeboSamuel,WR,10.157,172.669,45,0.0
