,Name,FantPos,Predicted PPG,Predicted PPR,PosRank,VBD,Ovr Rank
0,JoshAllen,QB,20.975,356.575,1,119.17,1
1,DakPrescott,QB,20.454,347.718,2,110.313,2
2,DavanteAdams,WR,20.445,347.565,1,174.896,3
3,PatrickMahomes,QB,20.427,347.259,3,109.854,4
4,DeshaunWatson,QB,19.805,336.685,4,99.28,5
5,DalvinCook,RB,19.784,336.328,1,206.295,6
6,AaronRodgers,QB,19.532,332.044,5,94.639,7
7,TravisKelce,TE,18.944,322.048,1,201.79,8
8,KylerMurray,QB,18.887,321.079,6,83.674,9
9,DerrickHenry,RB,18.673,317.441,2,187.408,10
10,AlvinKamara,RB,18.535,315.095,3,185.062,11
11,RussellWilson,QB,18.101,307.717,7,70.312,12
12,TyreekHill,WR,18.061,307.037,2,134.368,13
13,LamarJackson,QB,17.809,302.753,8,65.348,14
14,JustinHerbert,QB,17.69,300.73,9,63.325,15
15,ChristianMcCaffrey,RB,17.644,299.948,4,169.915,16
16,TomBrady,QB,17.559,298.503,10,61.098,17
17,StefonDiggs,WR,17.319,294.423,3,121.754,18
18,MarcusMariota,QB,16.944,288.048,11,50.643,19
19,RyanTannehill,QB,16.835,286.195,12,48.79,20
20,CalvinRidley,WR,16.064,273.088,4,100.419,21
21,KirkCousins,QB,15.525,263.925,13,26.52,22
22,DeAndreHopkins,WR,15.395,261.715,5,89.046,23
23,JamesRobinson,RB,15.242,259.114,5,129.081,24
24,DavidMontgomery,RB,15.13,257.21,6,127.177,25
25,CamNewton,QB,15.103,256.751,14,19.346,26
26,JonathanTaylor,RB,15.037,255.629,7,125.596,27
27,DarrenWaller,TE,15.021,255.357,2,135.099,28
28,AaronJones,RB,14.991,254.847,8,124.814,29
29,JustinJefferson,WR,14.96,254.32,6,81.651,30
30,AJBrown,WR,14.861,252.637,7,79.968,31
31,DKMetcalf,WR,14.647,248.999,8,76.33,32
32,DrewBrees,QB,14.44,245.48,15,8.075,33
33,GeorgeKittle,TE,14.356,244.052,3,123.794,34
