,Player,FantPos,Age,G,Y/A,Y/R,PPR,VBD,PosRank,OvRank,Year,Cmp/G,PassAtt/G,PassYds/G,PassTD/G,Int/G,RushAtt/G,RushYds/G,RushTD/G,Tgt/G,Rec/G,RecYds/G,RecTD/G,TotTD/G,PPG,ID,Next Year PPG
0,AJBrown,WR,23,14,0,15.36,247.5,51,9,28,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.571,5.0,76.786,0.786,0.857,17.679,AJBrown2020,NaN
1,AJDillon,RB,22,11,5.26,10.50,40.3,0,76,0,2020,0.0,0.0,0.0,0.0,0.0,4.182,22.0,0.182,0.182,0.182,1.909,0.0,0.182,3.664,AJDillon2020,NaN
2,AJGreen,WR,32,16,0,11.13,111.3,0,76,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,2.938,32.688,0.125,0.125,6.956,AJGreen2020,NaN
3,AJMcCarron,QB,30,2,0,0,0.8,0,76,0,2020,0.5,0.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,AJMcCarron2020,NaN
4,AaronJones,RB,26,14,5.49,7.55,258.9,82,5,13,2020,0.0,0.0,0.0,0.0,0.0,14.357,78.857,0.643,4.5,3.357,25.357,0.143,0.786,18.493,AaronJones2020,NaN
5,AaronRodgers,QB,37,16,3.92,-6.00,383.3,100,2,8,2020,23.25,32.875,268.688,3.0,0.312,2.375,9.312,0.188,0.062,0.062,-0.375,0.0,0.188,23.956,AaronRodgers2020,NaN
6,AdamHumphries,WR,27,7,0,9.91,57.8,0,112,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.286,32.571,0.286,0.286,8.257,AdamHumphries2020,NaN
7,AdamShaheen,TE,26,16,0,12.50,45.0,0,46,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.375,0.75,9.375,0.188,0.188,2.812,AdamShaheen2020,NaN
8,AdamThielen,WR,30,15,5.00,12.50,254.0,54,7,26,2020,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,7.2,4.933,61.667,0.933,0.933,16.933,AdamThielen2020,NaN
9,AdamTrautman,TE,23,15,0,11.40,38.1,0,59,0,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.067,1.0,11.4,0.067,0.067,2.54,AdamTrautman2020,NaN
