,Player,FantPos,Age,G,Y/A,Y/R,PPR,VBD,PosRank,OvRank,Year,Cmp/G,PassAtt/G,PassYds/G,PassTD/G,Int/G,RushAtt/G,RushYds/G,RushTD/G,Tgt/G,Rec/G,RecYds/G,RecTD/G,TotTD/G,PPG,ID,Next Year PPG
0,AJDerby,TE,25,10,0,10.00,30.0,0,65,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.6,16.0,0.0,0.0,3.0,AJDerby2016,5.036
1,AJDerby,TE,26,11,0,11.62,55.4,0,41,0,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.636,1.909,22.182,0.182,0.182,5.036,AJDerby2017,NaN
2,AJGreen,WR,28,10,0,14.61,186.4,0,34,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.6,96.4,0.4,0.4,18.64,AJGreen2016,14.175
3,AJGreen,WR,29,16,0,14.37,226.8,41,10,27,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.938,4.688,67.375,0.5,0.5,14.175,AJGreen2017,NaN
4,AJMcCarron,0,26,1,0,0,0,0,65,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AJMcCarron2016,0.867
5,AJMcCarron,QB,27,3,0,0,2.6,0,61,0,2017,2.333,4.667,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.867,AJMcCarron2017,NaN
6,AaronBurbridge,WR,23,16,0,12.57,13.8,0,161,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.438,5.5,0.0,0.0,0.862,AaronBurbridge2016,NaN
7,AaronGreen,0,24,2,0,0,0,0,157,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AaronGreen2016,NaN
8,AaronJones,RB,23,12,5.53,2.44,80.0,0,50,0,2017,0.0,0.0,0.0,0.0,0.0,6.75,37.333,0.333,1.5,0.75,1.833,0.0,0.333,6.667,AaronJones2017,NaN
9,AaronRipkowski,RB,24,16,4.41,5.11,46.6,0,73,0,2016,0.0,0.0,0.0,0.0,0.0,2.125,9.375,0.125,0.625,0.562,2.875,0.062,0.188,2.912,AaronRipkowski2016,0.762
10,AaronRipkowski,RB,25,16,2.60,5.57,12.2,0,127,0,2017,0.0,0.0,0.0,0.0,0.0,0.312,0.812,0.0,0.625,0.438,2.438,0.0,0.0,0.762,AaronRipkowski2017,NaN
11,AaronRodgers,QB,33,16,5.51,0,380.0,119,1,3,2016,25.062,38.125,276.75,2.5,0.438,4.188,23.062,0.25,0.0,0.0,0.0,0.0,0.25,23.75,AaronRodgers2016,18.514
12,AaronRodgers,QB,34,7,5.25,0,129.6,0,29,0,2017,22.0,34.0,239.286,2.286,0.857,3.429,18.0,0.0,0.0,0.0,0.0,0.0,0.0,18.514,AaronRodgers2017,NaN
13,AdamHumphries,WR,23,15,3.60,11.31,133.0,0,63,0,2016,0.0,0.0,0.0,0.0,0.0,0.333,1.2,0.0,5.533,3.667,41.467,0.133,0.133,8.867,AdamHumphries2016,8.044
14,AdamHumphries,WR,24,16,6.00,10.34,128.7,0,59,0,2017,0.0,0.0,0.0,0.0,0.0,0.062,0.375,0.0,5.188,3.812,39.438,0.062,0.062,8.044,AdamHumphries2017,NaN
15,AdamShaheen,RB,23,13,0,10.58,42.7,0,85,0,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.077,0.923,9.769,0.231,0.231,3.285,AdamShaheen2017,NaN
16,AdamThielen,WR,26,16,7.50,14.01,195.2,0,30,77,2016,0.0,0.0,0.0,0.0,0.0,0.125,0.938,0.0,5.75,4.312,60.438,0.312,0.312,12.2,AdamThielen2016,14.981
17,AdamThielen,WR,27,16,11.00,14.02,239.7,38,11,30,2017,0.0,0.0,0.0,0.0,0.0,0.062,0.688,0.0,8.875,5.688,79.75,0.25,0.25,14.981,AdamThielen2017,NaN
18,AdrianPeterson,RB,31,3,1.95,2.67,9.0,0,122,0,2016,0.0,0.0,0.0,0.0,0.0,12.333,24.0,0.0,2.0,1.0,2.667,0.0,0.0,3.0,AdrianPeterson2016,7.89
19,AdrianPeterson,RB,32,10,3.39,6.36,78.9,0,54,0,2017,0.0,0.0,0.0,0.0,0.0,15.6,52.9,0.2,1.9,1.1,7.0,0.0,0.2,7.89,AdrianPeterson2017,NaN
20,AkeemHunt,RB,23,8,5.45,9.67,16.8,0,100,0,2016,0.0,0.0,0.0,0.0,0.0,2.5,13.625,0.0,0.5,0.375,3.625,0.0,0.0,2.1,AkeemHunt2016,0.627
21,AkeemHunt,RB,24,15,2.88,7.75,9.4,0,126,0,2017,0.0,0.0,0.0,0.0,0.0,0.533,1.533,0.0,0.467,0.267,2.067,0.0,0.0,0.627,AkeemHunt2017,NaN
22,AlanCross,TE,23,14,0,6.33,15.8,0,74,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714,0.429,2.714,0.071,0.071,1.129,AlanCross2016,1.35
23,AlanCross,TE,24,8,0,11.60,10.8,0,80,0,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.625,7.25,0.0,0.0,1.35,AlanCross2017,NaN
24,AlbertWilson,WR,24,16,25.00,9.00,81.9,0,91,0,2016,0.0,0.0,0.0,0.0,0.0,0.125,3.125,0.062,3.188,1.938,17.438,0.125,0.188,5.119,AlbertWilson2016,8.923
25,AlbertWilson,WR,25,13,2.00,13.19,116.0,0,55,0,2017,0.0,0.0,0.0,0.0,0.0,0.231,0.462,0.0,4.769,3.231,42.615,0.231,0.231,8.923,AlbertWilson2017,NaN
26,AlexArmah,0,23,9,0,0,0,0,2,0,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AlexArmah2017,NaN
27,AlexCollins,RB,22,11,4.03,7.64,35.9,0,83,0,2016,0.0,0.0,0.0,0.0,0.0,2.818,11.364,0.091,1.0,1.0,7.636,0.0,0.091,3.264,AlexCollins2016,11.4
28,AlexCollins,RB,23,15,4.59,8.13,171.0,21,16,48,2017,0.0,0.0,0.0,0.0,0.0,14.133,64.867,0.4,2.4,1.533,12.467,0.0,0.4,11.4,AlexCollins2017,NaN
29,AlexEllis,TE,23,6,0,3.67,4.1,0,103,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.5,1.833,0.0,0.0,0.683,AlexEllis2016,NaN
30,AlexErickson,WR,24,16,0,11.83,13.1,0,159,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.375,4.438,0.0,0.0,0.819,AlexErickson2016,2.225
31,AlexErickson,WR,25,16,3.20,15.00,35.6,0,117,0,2017,0.0,0.0,0.0,0.0,0.0,0.312,1.0,0.0,1.0,0.75,11.25,0.062,0.062,2.225,AlexErickson2017,NaN
32,AlexSmith,QB,32,15,2.79,3.00,224.8,0,22,0,2016,21.867,32.6,233.467,1.0,0.533,3.2,8.933,0.333,0.067,0.067,0.2,0.0,0.333,14.987,AlexSmith2016,19.68
33,AlexSmith,QB,33,15,5.92,0,295.2,40,4,29,2017,22.733,33.667,269.467,1.733,0.333,4.0,23.667,0.067,0.0,0.0,0.0,0.0,0.067,19.68,AlexSmith2017,NaN
34,AlfredBlue,RB,25,14,4.20,3.33,62.0,0,60,0,2016,0.0,0.0,0.0,0.0,0.0,7.143,30.0,0.071,1.143,0.857,2.857,0.0,0.071,4.429,AlfredBlue2016,4.055
35,AlfredBlue,RB,26,11,3.69,7.71,44.6,0,77,0,2017,0.0,0.0,0.0,0.0,0.0,6.455,23.818,0.091,0.818,0.636,4.909,0.0,0.091,4.055,AlfredBlue2017,NaN
36,AlfredMorris,RB,28,14,3.52,3.67,40.4,0,74,0,2016,0.0,0.0,0.0,0.0,0.0,4.929,17.357,0.143,0.429,0.214,0.786,0.0,0.143,2.886,AlfredMorris2016,5.157
37,AlfredMorris,RB,29,14,4.76,6.43,72.2,0,57,0,2017,0.0,0.0,0.0,0.0,0.0,8.214,39.071,0.071,0.643,0.5,3.214,0.0,0.071,5.157,AlfredMorris2017,NaN
38,AllenHurns,WR,25,11,0,13.63,100.7,0,74,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.909,3.182,43.364,0.273,0.273,9.155,AllenHurns2016,9.94
39,AllenHurns,WR,26,10,0,12.41,99.4,0,68,0,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,3.9,48.4,0.2,0.2,9.94,AllenHurns2017,NaN
40,AllenRobinson,WR,23,16,0,12.10,199.3,0,29,74,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.438,4.562,55.188,0.375,0.375,12.456,AllenRobinson2016,2.7
41,AllenRobinson,WR,24,1,0,17.00,2.7,0,186,0,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,17.0,0.0,0.0,2.7,AllenRobinson2017,NaN
42,AlshonJeffery,WR,26,12,0,15.79,146.1,0,52,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.833,4.333,68.417,0.167,0.167,12.175,AlshonJeffery2016,12.244
43,AlshonJeffery,WR,27,16,0,13.84,195.9,28,16,38,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,3.562,49.312,0.562,0.562,12.244,AlshonJeffery2017,NaN
44,AlvinKamara,RB,22,16,6.07,10.20,320.4,112,4,4,2017,0.0,0.0,0.0,0.0,0.0,7.5,45.5,0.5,6.25,5.062,51.625,0.312,0.875,20.025,AlvinKamara2017,NaN
45,AmaraDarboh,WR,23,16,0,8.88,15.1,0,163,0,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.812,0.5,4.438,0.0,0.0,0.944,AmaraDarboh2017,NaN
46,AmariCooper,WR,22,16,0.00,13.89,232.3,23,13,42,2016,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.0,8.25,5.188,72.062,0.312,0.312,14.519,AmariCooper2016,11.314
47,AmariCooper,WR,23,14,4.00,14.17,158.4,0,31,0,2017,0.0,0.0,0.0,0.0,0.0,0.071,0.286,0.0,6.857,3.429,48.571,0.5,0.5,11.314,AmariCooper2017,NaN
48,AmeerAbdullah,RB,23,2,5.61,11.40,26.8,0,88,0,2016,0.0,0.0,0.0,0.0,0.0,9.0,50.5,0.0,2.5,2.5,28.5,0.5,0.5,13.4,AmeerAbdullah2016,8.886
49,AmeerAbdullah,RB,24,14,3.35,6.48,124.4,0,40,0,2017,0.0,0.0,0.0,0.0,0.0,11.786,39.429,0.286,2.5,1.786,11.571,0.071,0.357,8.886,AmeerAbdullah2017,NaN
50,AndreEllington,RB,27,16,2.82,7.08,30.1,0,93,0,2016,0.0,0.0,0.0,0.0,0.0,2.125,6.0,0.0,1.188,0.75,5.312,0.0,0.0,1.881,AndreEllington2016,7.283
51,AndreEllington,RB,28,12,2.75,9.46,87.4,0,67,0,2017,0.0,0.0,0.0,0.0,0.0,1.667,4.583,0.083,4.917,3.25,30.75,0.0,0.083,7.283,AndreEllington2017,NaN
52,AndreJohnson,WR,35,8,0,9.44,29.5,0,126,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,1.125,10.625,0.25,0.25,3.688,AndreJohnson2016,NaN
53,AndreWilliams,RB,24,1,4.83,0,8.7,0,116,0,2016,0.0,0.0,0.0,0.0,0.0,18.0,87.0,0.0,2.0,0.0,0.0,0.0,0.0,8.7,AndreWilliams2016,0.312
54,AndreWilliams,RB,25,8,2.78,0,2.5,0,138,0,2017,0.0,0.0,0.0,0.0,0.0,1.125,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.312,AndreWilliams2017,NaN
55,AndrewHawkins,WR,30,16,0.00,9.82,83.4,0,92,0,2016,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,3.375,2.062,20.25,0.188,0.188,5.212,AndrewHawkins2016,NaN
56,AndrewLuck,QB,27,15,5.33,0,307.7,47,4,22,2016,23.067,36.333,282.667,2.067,0.867,4.267,22.733,0.133,0.0,0.0,0.0,0.0,0.133,20.513,AndrewLuck2016,NaN
57,AndyDalton,QB,29,16,4.00,0,260.6,0,12,75,2016,22.75,35.188,262.875,1.125,0.5,2.875,11.5,0.25,0.0,0.0,0.0,0.0,0.25,16.288,AndyDalton2016,13.169
58,AndyDalton,QB,30,16,2.61,0,210.7,0,17,0,2017,18.562,31.0,207.5,1.562,0.75,2.375,6.188,0.0,0.0,0.0,0.0,0.0,0.0,13.169,AndyDalton2017,NaN
59,AndyJanovich,RB,23,11,8.25,8.80,18.7,0,101,0,2016,0.0,0.0,0.0,0.0,0.0,0.364,3.0,0.091,0.636,0.455,4.0,0.0,0.091,1.7,AndyJanovich2016,0.919
60,AndyJanovich,RB,24,16,2.00,8.75,14.7,0,113,0,2017,0.0,0.0,0.0,0.0,0.0,0.375,0.75,0.062,0.375,0.25,2.188,0.0,0.062,0.919,AndyJanovich2017,NaN
61,AndyJones,0,23,3,0,0,0,0,202,0,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AndyJones2017,NaN
62,AnquanBoldin,WR,36,16,0,8.72,173.4,0,45,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.938,4.188,36.5,0.5,0.5,10.838,AnquanBoldin2016,NaN
63,AnthonyFasano,TE,32,16,0,10.38,28.3,0,56,0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.812,0.5,5.188,0.125,0.125,1.769,AnthonyFasano2016,1.794
64,AnthonyFasano,TE,33,16,0,8.92,28.7,0,61,0,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,6.688,0.062,0.062,1.794,AnthonyFasano2017,NaN
